payment_id,loan_id,payment_date,due_date,payment_amount,principal_component,interest_component,fee_component,days_past_due,currency,payment_method
1,1,2024-02-07,2024-02-11,3705892.33,3426922.67,277193.76,1775.9,1,EUR,Check
2,1,2024-08-15,2024-08-20,2654496.76,2425545.56,227365.88,1585.32,0,EUR,Check
3,1,2025-02-28,2025-02-28,2464898.84,2198832.7,265637.81,428.33,5,EUR,ACH
4,1,2025-09-04,2025-09-08,3158962.66,2884865.92,272195.04,1901.7,1,EUR,ACH
5,1,2026-03-19,2026-03-19,456317.03,232385.36,222893.83,1037.84,5,EUR,Wire
6,1,2026-09-21,2026-09-26,1653134.98,1453336.58,198777.68,1020.72,0,EUR,Check
7,1,2027-04-01,2027-04-06,2371040.6,2033148.16,336283.4,1609.04,0,EUR,Wire
8,1,2027-10-12,2027-10-15,695526.74,487514.15,207286.78,725.81,2,EUR,ACH
9,1,2028-04-21,2028-04-24,1926737.0,1724513.81,201944.97,278.22,2,EUR,ACH
10,2,2025-01-06,2025-01-01,1304808.0,1053297.39,251366.36,144.25,10,GBP,ACH
11,2,2025-02-12,2025-02-17,352808.55,120475.23,232138.5,194.82,0,GBP,ACH
12,2,2025-03-31,2025-04-05,2399474.9,1983170.56,414474.13,1830.21,0,GBP,Check
13,2,2025-05-27,2025-05-22,410777.74,68174.74,340999.0,1604.0,10,GBP,Check
14,2,2025-07-03,2025-07-08,395942.2,105147.19,290347.6,447.41,0,GBP,Wire
15,2,2025-08-20,2025-08-25,622161.3,331770.76,289964.09,426.45,0,GBP,Check
16,2,2025-10-06,2025-10-11,1349605.1,1088021.38,261225.34,358.38,0,GBP,Wire
17,2,2025-12-02,2025-11-27,597551.76,249407.75,347562.36,581.65,10,GBP,ACH
18,2,2026-01-10,2026-01-13,2135986.3,1778679.83,356833.3,473.17,2,GBP,Check
19,2,2026-02-25,2026-03-01,1067066.57,808054.76,258225.12,786.69,1,GBP,ACH
20,2,2026-04-18,2026-04-18,416651.8,36005.51,379655.22,991.07,5,GBP,Check
21,2,2026-05-30,2026-06-04,1029168.57,746910.84,280654.41,1603.32,0,GBP,Wire
22,2,2026-07-26,2026-07-21,1203843.34,871695.96,331516.31,631.07,10,GBP,Check
23,2,2026-09-02,2026-09-06,1821229.6,1481759.95,338754.67,714.98,1,GBP,ACH
24,2,2026-10-28,2026-10-23,1441248.98,1127433.66,312929.53,885.79,10,GBP,Check
25,2,2026-12-05,2026-12-10,654539.98,342465.55,311447.98,626.45,0,GBP,ACH
26,3,2024-10-29,2024-10-24,1838498.37,1508046.55,328469.18,1982.64,10,EUR,ACH
27,3,2025-01-25,2025-01-25,422697.69,144130.49,277574.08,993.12,5,EUR,ACH
28,3,2025-04-24,2025-04-29,1095954.9,847392.82,247340.6,1221.48,0,EUR,Check
29,3,2025-07-27,2025-08-01,1978129.67,1595769.23,381847.43,513.01,0,EUR,Wire
30,3,2025-11-03,2025-11-03,2319889.26,1885395.81,432644.27,1849.18,5,EUR,Wire
31,3,2026-01-31,2026-02-05,1792672.21,1489387.04,303215.04,70.13,0,EUR,Wire
32,3,2026-05-05,2026-05-09,877229.29,434322.36,442647.74,259.19,1,EUR,Wire
33,3,2026-08-07,2026-08-11,2153374.19,1790696.16,361904.14,773.89,1,EUR,Wire
34,3,2026-11-08,2026-11-13,380601.86,38121.66,341243.37,1236.83,0,EUR,ACH
35,3,2027-02-10,2027-02-15,1051795.36,762174.78,288307.79,1312.79,0,EUR,ACH
36,3,2027-05-15,2027-05-20,527291.3,87200.03,438848.25,1243.02,0,EUR,Check
37,3,2027-08-17,2027-08-21,1084636.55,719846.99,362986.55,1803.01,1,EUR,Check
